time,ok_per_min,bad_per_min,missed_per_min,temp_f,rssi_dbm,tracking,resyncs,age_s
2026-09-13 00:38,11.37,3.05,12.00,55.50,-74.85,1.00,0.00,7.60
2026-09-13 00:48,11.05,2.53,12.32,55.30,-75.15,1.00,0.00,2.80
2026-09-13 00:58,10.53,2.95,12.95,54.90,-78.85,1.00,0.00,0.70
2026-09-13 01:08,9.16,3.16,14.32,54.50,-77.40,1.00,0.00,3.60
2026-09-13 01:18,8.32,3.37,15.05,54.20,-79.50,1.00,0.00,4.00
2026-09-13 01:28,7.37,3.47,16.00,54.20,-77.15,1.00,0.00,1.80
2026-09-13 01:38,8.11,2.42,15.26,54.10,-76.15,1.00,0.00,4.80
2026-09-13 01:48,8.00,2.32,15.37,53.90,-77.65,1.00,0.00,2.60
2026-09-13 01:58,8.32,3.26,15.16,53.70,-76.60,1.00,0.00,10.60
2026-09-13 02:08,6.32,3.16,17.16,53.40,-76.40,1.00,0.00,11.00
2026-09-13 02:18,5.47,2.95,18.00,53.60,-78.30,1.00,0.00,1.20
2026-09-13 02:28,7.26,3.26,16.11,53.90,-76.45,1.00,0.00,6.70
2026-09-13 02:38,7.79,2.63,15.58,53.80,-77.10,1.00,0.00,9.60
2026-09-13 02:48,7.16,2.84,15.79,53.40,-78.65,1.00,0.00,4.90
2026-09-13 02:58,6.63,3.26,16.95,53.10,-78.70,1.00,0.00,5.20
2026-09-13 03:08,5.58,4.42,17.89,52.80,-75.25,1.00,0.00,0.50
2026-09-13 03:18,5.79,2.84,17.58,52.80,-78.30,1.00,0.00,3.40
2026-09-13 03:28,7.05,2.95,16.53,53.00,-78.45,1.00,0.00,3.80
2026-09-13 03:38,7.89,3.26,15.58,53.20,-77.10,1.00,0.00,1.70
2026-09-13 03:48,6.53,4.32,17.05,53.60,-77.00,1.00,0.00,2.00
2026-09-13 03:58,8.00,2.32,15.26,53.70,-80.85,1.00,0.00,22.90
2026-09-13 04:08,8.42,2.74,14.95,53.90,-76.00,1.00,0.00,2.80
2026-09-13 04:18,8.00,3.26,15.37,53.90,-76.40,1.00,0.00,0.60
2026-09-13 04:28,8.74,3.26,14.84,54.00,-77.90,1.00,0.00,3.60
2026-09-13 04:38,8.95,2.32,14.32,53.90,-76.20,1.00,0.00,3.90
2026-09-13 04:48,9.37,2.42,14.00,53.90,-77.30,1.00,0.00,4.30
2026-09-13 04:58,9.05,3.26,14.11,53.90,-78.70,1.00,0.00,17.50
2026-09-13 05:08,8.63,2.42,14.63,53.80,-75.65,1.00,0.00,2.50
2026-09-13 05:18,9.05,2.63,14.63,53.60,-75.75,1.00,0.00,0.30
2026-09-13 05:28,7.58,3.16,15.79,53.40,-78.15,1.00,0.00,8.40
2026-09-13 05:38,6.63,2.53,16.74,53.20,-75.25,1.00,0.00,13.90
2026-09-13 05:48,5.89,3.58,17.26,53.00,-77.80,1.00,0.00,4.10
2026-09-13 05:58,5.89,3.16,17.68,52.90,-78.95,1.00,0.00,1.90
2026-09-13 06:08,6.84,2.11,16.95,52.90,-76.35,1.00,0.00,2.30
2026-09-13 06:18,6.63,3.58,16.84,52.90,-77.40,1.00,0.00,10.30
2026-09-13 06:28,8.00,2.74,15.68,53.10,-78.75,1.00,0.00,3.00
2026-09-13 06:38,8.63,2.00,15.05,53.20,-78.95,1.00,0.00,0.80
2026-09-13 06:48,9.16,1.58,14.00,53.20,-75.25,1.00,0.00,1.20
2026-09-13 06:58,8.53,2.63,14.84,53.40,-78.20,1.00,0.00,4.20
2026-09-13 07:08,10.63,2.32,12.95,53.50,-78.25,1.00,0.00,4.50
2026-09-13 07:18,9.89,3.05,13.58,53.50,-75.25,1.00,0.00,2.40
2026-09-13 07:28,11.26,2.21,12.32,53.70,-79.70,1.00,0.00,0.20
2026-09-13 07:38,11.89,3.05,11.26,53.90,-80.10,1.00,0.00,0.60
2026-09-13 07:48,12.21,2.32,11.05,54.10,-75.45,1.00,0.00,3.50
2026-09-13 07:58,14.11,2.42,9.05,54.40,-79.80,1.00,0.00,1.30
2026-09-13 08:08,14.32,2.42,9.05,54.70,-78.40,1.00,0.00,4.30
2026-09-13 08:18,15.26,2.21,8.00,54.90,-75.20,1.00,0.00,2.10
2026-09-13 08:28,15.26,1.89,8.11,54.90,-77.00,1.00,0.00,2.50
2026-09-13 08:38,16.21,1.37,7.26,54.80,-80.05,1.00,0.00,0.30
2026-09-13 08:48,16.00,2.11,7.37,55.00,-75.75,1.00,0.00,0.70
2026-09-13 08:58,16.84,2.00,6.84,55.30,-78.30,1.00,0.00,1.10
2026-09-13 09:08,17.16,1.79,6.11,55.50,-79.85,1.00,0.00,4.00
2026-09-13 09:18,18.00,2.00,5.05,55.70,-79.85,1.00,0.00,9.50
2026-09-13 09:28,18.95,1.47,4.42,56.10,-77.80,1.00,0.00,2.20
2026-09-13 09:38,20.63,1.05,2.74,56.40,-79.55,1.00,0.00,0.00
2026-09-13 09:48,20.53,1.16,2.84,56.80,-77.00,1.00,0.00,0.40
2026-09-13 09:58,21.68,0.84,1.89,57.20,-76.60,1.00,0.00,0.80
2026-09-13 10:08,21.47,0.74,1.79,57.30,-77.25,1.00,0.00,3.80
2026-09-13 10:18,20.84,1.26,2.42,57.40,-79.05,1.00,0.00,1.60
2026-09-13 10:28,22.11,0.42,1.37,57.80,-77.30,1.00,0.00,2.00
2026-09-13 10:38,23.16,0.11,0.21,58.40,-77.50,1.00,0.00,2.30
2026-09-13 10:48,23.26,0.21,0.21,58.90,-78.05,1.00,0.00,0.20
2026-09-13 10:58,23.47,0.00,0.00,59.10,-77.75,1.00,0.00,0.60
2026-09-13 11:08,15.70,0.00,0.00,,-75.53,,,
